date,Open,High,Low,Close,Adj. Close,Volume
2021-01-06 05:19:00,370.39,370.42,370.38,370.42,370.42,3451.0
2021-01-06 05:20:00,370.42,370.42,370.39,370.39,370.39,1388.0
2021-01-06 05:21:00,370.39,370.39,370.33,370.33,370.33,1689.0
2021-01-06 05:22:00,370.47,370.5,370.37,370.37,370.37,426.0
2021-01-06 05:23:00,370.31,370.31,370.28,370.3,370.3,1639.0
2021-01-06 05:24:00,370.32,370.32,370.32,370.32,370.32,530.0
2021-01-06 05:25:00,370.4,370.4,370.31,370.31,370.31,1422.0
2021-01-06 05:26:00,370.31,370.4,370.31,370.4,370.4,279.0
2021-01-06 05:27:00,370.38,370.38,370.38,370.38,370.38,125.0
2021-01-06 05:28:00,370.47,370.47,370.26,370.26,370.26,970.0
2021-01-06 05:29:00,370.18,370.18,370.08,370.08,370.08,687.0
2021-01-06 05:30:00,370.08,370.08,369.9,369.9,369.9,1104.0
2021-01-06 05:31:00,369.89,369.9,369.89,369.9,369.9,5101.0
2021-01-06 05:32:00,370.08,370.08,370.08,370.08,370.08,1045.0
2021-01-06 05:33:00,370.27,370.27,370.27,370.27,370.27,111.0
2021-01-06 05:34:00,370.16,370.22,370.07,370.07,370.07,710.0
2021-01-06 05:35:00,370.14,370.14,370.14,370.14,370.14,631.0
2021-01-06 05:36:00,370.1,370.31,370.1,370.31,370.31,329.0
2021-01-06 05:39:00,370.21,370.21,370.21,370.21,370.21,170.0
2021-01-06 05:40:00,370.01,370.01,369.97,370.0,370.0,1246.0
2021-01-06 05:42:00,370.28,370.28,370.28,370.28,370.28,210.0
2021-01-06 05:43:00,370.31,370.36,370.31,370.36,370.36,360.0
2021-01-06 05:44:00,370.41,370.57,370.41,370.53,370.53,4793.0
2021-01-06 05:45:00,370.61,370.62,370.55,370.55,370.55,755.0
2021-01-06 05:46:00,370.68,370.96,370.68,370.85,370.85,4216.0
2021-01-06 05:47:00,370.78,370.78,370.78,370.78,370.78,485.0
2021-01-06 05:48:00,370.67,370.9,370.67,370.9,370.9,6110.0
2021-01-06 05:49:00,370.9,370.9,370.78,370.78,370.78,630.0
2021-01-06 05:51:00,370.78,370.78,370.7,370.74,370.74,4360.0
2021-01-06 05:52:00,370.66,370.66,370.66,370.66,370.66,175.0
2021-01-06 05:53:00,370.94,370.94,370.94,370.94,370.94,231.0
2021-01-06 05:54:00,370.85,370.85,370.85,370.85,370.85,430.0
2021-01-06 05:55:00,370.9,371.0,370.85,370.85,370.85,53561.0
2021-01-06 05:56:00,370.8,370.8,370.8,370.8,370.8,232.0
2021-01-06 05:57:00,370.6,370.6,370.56,370.59,370.59,5001.0
2021-01-06 05:58:00,370.7,370.7,370.56,370.67,370.67,1410.0
2021-01-06 05:59:00,370.42,370.42,370.42,370.42,370.42,135.0
2021-01-06 06:00:00,370.47,370.47,370.47,370.47,370.47,121.0
2021-01-06 06:01:00,370.43,370.43,370.41,370.41,370.41,400.0
2021-01-06 06:02:00,370.47,370.47,370.45,370.45,370.45,411.0
2021-01-06 06:03:00,370.41,370.41,370.28,370.36,370.36,1775.0
2021-01-06 06:04:00,370.42,370.42,370.37,370.37,370.37,1001.0
2021-01-06 06:05:00,370.27,370.27,370.27,370.27,370.27,752.0
2021-01-06 06:06:00,370.2,370.2,370.07,370.07,370.07,5055.0
2021-01-06 06:07:00,370.1,370.1,370.08,370.1,370.1,4910.0
2021-01-06 06:08:00,370.1,370.17,370.07,370.14,370.14,31429.0
2021-01-06 06:09:00,370.11,370.11,370.11,370.11,370.11,271.0
2021-01-06 06:10:00,370.03,370.03,369.98,369.98,369.98,2788.0
2021-01-06 06:11:00,370.0,370.13,370.0,370.13,370.13,4390.0
2021-01-06 06:12:00,370.12,370.12,370.01,370.01,370.01,8409.0
2021-01-06 06:13:00,369.95,369.95,369.9,369.9,369.9,1110.0
2021-01-06 06:14:00,369.89,369.89,369.89,369.89,369.89,850.0
2021-01-06 06:15:00,369.89,369.89,369.89,369.89,369.89,108.0
2021-01-06 06:16:00,369.85,369.85,369.85,369.85,369.85,230.0
2021-01-06 06:17:00,369.85,369.85,369.58,369.58,369.58,2149.0
2021-01-06 06:18:00,369.57,369.57,369.39,369.42,369.42,9176.0
2021-01-06 06:19:00,369.43,369.47,369.43,369.47,369.47,1349.0
2021-01-06 06:20:00,369.45,369.45,369.45,369.45,369.45,325.0
2021-01-06 06:21:00,369.49,369.49,369.42,369.42,369.42,520.0
2021-01-06 06:22:00,369.47,369.47,369.47,369.47,369.47,107.0
2021-01-06 06:23:00,369.45,369.45,369.3,369.3,369.3,730.0
2021-01-06 06:25:00,369.58,369.94,369.58,369.94,369.94,7291.0
2021-01-06 06:26:00,369.92,369.93,369.92,369.93,369.93,1021.0
2021-01-06 06:27:00,369.95,370.02,369.95,370.02,370.02,2471.0
2021-01-06 06:28:00,370.02,370.02,370.01,370.01,370.01,610.0
2021-01-06 06:29:00,369.99,370.02,369.99,370.0,370.0,1854.0
2021-01-06 06:30:00,370.01,370.05,369.99,370.0,370.0,2259.0
2021-01-06 06:32:00,369.87,369.87,369.87,369.87,369.87,116.0
2021-01-06 06:33:00,369.95,369.97,369.95,369.97,369.97,3032.0
2021-01-06 06:35:00,369.94,369.94,369.94,369.94,369.94,2050.0
2021-01-06 06:36:00,369.98,369.98,369.88,369.88,369.88,255.0
2021-01-06 06:37:00,369.82,369.82,369.79,369.8,369.8,5057.0
2021-01-06 06:38:00,369.78,369.78,369.75,369.75,369.75,820.0
2021-01-06 06:40:00,369.77,370.06,369.77,370.06,370.06,3797.0
2021-01-06 06:41:00,370.0,370.06,369.96,370.06,370.06,4030.0
2021-01-06 06:42:00,370.19,370.19,370.05,370.05,370.05,5800.0
2021-01-06 06:43:00,370.08,370.1,370.08,370.1,370.1,1301.0
2021-01-06 06:47:00,370.0,370.0,369.99,369.99,369.99,1926.0
2021-01-06 06:49:00,370.05,370.05,370.05,370.05,370.05,451.0
2021-01-06 06:50:00,369.93,370.0,369.93,370.0,370.0,668.0
2021-01-06 06:53:00,370.04,370.1,370.04,370.1,370.1,1468.0
2021-01-06 06:54:00,370.21,370.44,370.21,370.44,370.44,6062.0
2021-01-06 06:55:00,370.31,370.4,370.31,370.36,370.36,410.0
2021-01-06 06:56:00,370.37,370.43,370.37,370.43,370.43,2351.0
2021-01-06 06:57:00,370.44,370.48,370.43,370.44,370.44,8788.0
2021-01-06 06:58:00,370.45,370.61,370.42,370.56,370.56,7090.0
2021-01-06 06:59:00,370.56,370.56,370.56,370.56,370.56,270.0
2021-01-06 07:00:00,370.55,370.55,370.45,370.45,370.45,1304.0
2021-01-06 07:01:00,370.43,370.54,370.35,370.52,370.52,29234.0
2021-01-06 07:02:00,370.48,370.66,370.48,370.56,370.56,6464.0
2021-01-06 07:03:00,370.51,370.92,370.51,370.87,370.87,17265.0
2021-01-06 07:04:00,370.85,370.94,370.8,370.9,370.9,9756.0
2021-01-06 07:05:00,370.99,371.08,370.99,371.05,371.05,4676.0
2021-01-06 07:06:00,371.04,371.09,371.04,371.05,371.05,2027.0
2021-01-06 07:07:00,371.0,371.18,370.98,371.1,371.1,19966.0
2021-01-06 07:08:00,371.09,371.09,371.0,371.0,371.0,3857.0
2021-01-06 07:09:00,371.09,371.1,371.08,371.08,371.08,7176.0
2021-01-06 07:10:00,371.0,371.0,370.91,370.91,370.91,2220.0
2021-01-06 07:11:00,370.9,370.9,370.9,370.9,370.9,459.0
2021-01-06 07:12:00,370.95,370.95,370.87,370.88,370.88,4081.0
2021-01-06 07:13:00,370.92,370.99,370.9,370.9,370.9,4614.0
2021-01-06 07:14:00,370.9,371.05,370.9,371.05,371.05,4402.0
2021-01-06 07:15:00,371.08,371.22,371.07,371.22,371.22,9776.0
2021-01-06 07:16:00,371.12,371.12,371.0,371.0,371.0,313.0
2021-01-06 07:17:00,371.12,371.17,371.12,371.17,371.17,2208.0
2021-01-06 07:18:00,371.14,371.19,371.13,371.19,371.19,4611.0
2021-01-06 07:19:00,371.11,371.15,371.1,371.15,371.15,2104.0
2021-01-06 07:20:00,371.15,371.25,371.15,371.25,371.25,3295.0
2021-01-06 07:21:00,371.23,371.39,371.23,371.39,371.39,12049.0
2021-01-06 07:22:00,371.4,371.4,371.21,371.21,371.21,9625.0
2021-01-06 07:23:00,371.24,371.36,371.24,371.36,371.36,5167.0
2021-01-06 07:24:00,371.31,371.39,371.3,371.37,371.37,5426.0
2021-01-06 07:25:00,371.38,371.41,371.29,371.29,371.29,46639.0
2021-01-06 07:26:00,371.27,371.27,371.12,371.18,371.18,13721.0
2021-01-06 07:27:00,371.15,371.22,371.15,371.22,371.22,16053.0
2021-01-06 07:28:00,371.15,371.2,371.15,371.18,371.18,42234.0
2021-01-06 07:29:00,371.12,371.12,370.93,370.93,370.93,18504.0
2021-01-06 07:30:00,370.94,371.01,370.85,370.97,370.97,17872.0
2021-01-06 07:31:00,370.97,371.09,370.97,371.09,371.09,6722.0
2021-01-06 07:32:00,371.1,371.19,371.06,371.1,371.1,16331.0
2021-01-06 07:33:00,371.14,371.16,371.07,371.07,371.07,2472.0
2021-01-06 07:34:00,370.97,370.98,370.71,370.71,370.71,12769.0
2021-01-06 07:35:00,370.77,370.82,370.65,370.65,370.65,46699.0
2021-01-06 07:36:00,370.62,370.65,370.33,370.44,370.44,16190.0
2021-01-06 07:37:00,370.44,370.55,370.4,370.46,370.46,26171.0
2021-01-06 07:38:00,370.6,370.8,370.55,370.74,370.74,19335.0
2021-01-06 07:39:00,370.74,370.79,370.6,370.6,370.6,20809.0
2021-01-06 07:40:00,370.6,370.6,370.44,370.54,370.54,10540.0
2021-01-06 07:41:00,370.58,370.58,370.58,370.58,370.58,1559.0
2021-01-06 07:42:00,370.53,370.59,370.53,370.58,370.58,15167.0
2021-01-06 07:43:00,370.53,370.53,370.45,370.45,370.45,1980.0
2021-01-06 07:44:00,370.51,370.55,370.5,370.51,370.51,12749.0
2021-01-06 07:45:00,370.43,370.53,370.39,370.5,370.5,47427.0
2021-01-06 07:46:00,370.59,370.59,370.37,370.37,370.37,459.0
